epoch, train_loss, val_loss, train_fscore, val_fscore, train_iou, val_iou
0, 0.8134655058383942, 0.8594193994998931, 0.2376553937792778, 0.2212106429040432, 0.1348518505692482, 0.12617423832416536
1, 0.8089010119438171, 0.8576798856258391, 0.335751548409462, 0.26245709136128426, 0.20177633315324783, 0.15344740822911263
2, 0.8055579960346222, 0.8561370432376861, 0.4214046895503998, 0.3057597011327744, 0.26719240099191666, 0.1835613004863262
3, 0.8028156161308289, 0.854730522632599, 0.4959974139928818, 0.34741703420877457, 0.33032114803791046, 0.21442599073052404
4, 0.8004251718521118, 0.8535010457038879, 0.5600305199623108, 0.3830039918422699, 0.38970743119716644, 0.24245928600430489
5, 0.7985321581363678, 0.8524388015270233, 0.6071701049804688, 0.41174020171165465, 0.4366777539253235, 0.26638573706150054
6, 0.7970004379749298, 0.8515218377113343, 0.6405946910381317, 0.43559153079986573, 0.4718013405799866, 0.28679721280932424
7, 0.7956483960151672, 0.850706285238266, 0.6652928590774536, 0.4530972391366959, 0.498852014541626, 0.302520065754652
8, 0.794381856918335, 0.8499577045440673, 0.6855573356151581, 0.4691431373357773, 0.5218328535556793, 0.31732277572155
9, 0.7931523025035858, 0.8492657601833342, 0.7020089328289032, 0.4826146394014358, 0.5410370230674744, 0.32999630570411687
